Ticker,Published,Traded,Filed_After,Action,Amount
NVDA,3/20/2025,3/16/2025,2,BUY,1000–15000
NVDA,1/28/2025,1/20/2025,6,BUY,1000–15000
NVDA,1/28/2025,1/7/2025,19,BUY,1000–15000
NVDA,12/30/2024,12/23/2024,3,BUY,1000–15000
NVDA,11/28/2024,11/24/2024,2,BUY,1000–15000
NVDA,9/5/2024,9/2/2024,1,BUY,1000–15000
NVDA,8/23/2024,8/20/2024,1,BUY,1000–15000
NVDA,1/20/2025,12/30/2024,17,SELL,1000000–5000000
NVDA,1/20/2025,12/19/2024,28,BUY,500000–1000000
NVDA,1/20/2025,1/13/2025,3,BUY,250000–500000
NVDA,7/31/2024,7/25/2024,4,BUY,1000000–5000000
NVDA,7/3/2024,6/25/2024,6,BUY,1000000–5000000
NVDA,12/22/2023,11/21/2023,29,BUY,1000000–5000000
NVDA,10/17/2022,9/15/2022,28,SELL,100000–250000
NVDA,7/27/2022,7/25/2022,0,SELL,1000000–5000000
NVDA,7/14/2022,6/16/2022,27,BUY,1000000–5000000
